eta,lmbd,epochs,batch_size,n_hidden_layers,activation_func,optimiser,training_loss,validation_loss
0.001,1e-05,300,64,[50],"['relu', 'linear']",SGD,0.00019992168833480545,0.00016189345538248598
0.001,1e-05,300,64,[50],"['relu', 'linear']",adam,0.0005809601273851331,0.0005289203375329611
0.001,1e-05,300,64,[50],"['relu', 'linear']",adagrad,124.05641637932484,115.26250160422323
0.001,1e-05,300,64,[50],"['relu', 'linear']",RMSprop,0.0020179560844916806,0.0019790414303446826
1e-05,0.1,300,64,[10],"['relu', 'linear']",SGDwithoutMomentum,0.26381494897629265,0.2354627524331476
1e-05,0.1,300,64,[10],"['relu', 'linear']",SGD,0.108692196935491,0.09726185839613807
1e-05,0.1,300,64,[10],"['relu', 'linear']",adam,0.38158772400406193,0.3795275040322174
1e-05,0.1,300,64,[10],"['relu', 'linear']",adagrad,12.83045588241715,13.116517738291417
1e-05,0.1,300,64,[10],"['relu', 'linear']",RMSprop,1.5938001420571006,1.5779512276270424
1e-05,0.1,300,64,[30],"['relu', 'linear']",SGDwithoutMomentum,0.0627111915873153,0.056437466048405424
1e-05,0.1,300,64,[30],"['relu', 'linear']",SGD,0.008372896686839035,0.006642198373116676
1e-05,0.1,300,64,[30],"['relu', 'linear']",adam,33.840269795936564,34.245224817858414
1e-05,0.1,300,64,[30],"['relu', 'linear']",adagrad,16.646266171143658,15.454702120121542
1e-05,0.1,300,64,[30],"['relu', 'linear']",RMSprop,0.9056085689777172,0.8394616580412524
1e-05,0.1,300,64,[50],"['relu', 'linear']",SGDwithoutMomentum,0.08051095241267056,0.06947231705396098
1e-05,0.1,300,64,[50],"['relu', 'linear']",SGD,0.03585040982654916,0.03337245328586519
1e-05,0.1,300,64,[50],"['relu', 'linear']",adam,2.7113130816954993,2.5151457035499436
1e-05,0.1,300,64,[50],"['relu', 'linear']",adagrad,203.7062836598444,196.67275495477136
1e-05,0.1,300,64,[50],"['relu', 'linear']",RMSprop,0.4536432877377945,0.39656319862670414
1e-05,0.001,300,64,[10],"['relu', 'linear']",SGDwithoutMomentum,0.03490970131825331,0.03193735769061643
1e-05,0.001,300,64,[10],"['relu', 'linear']",SGD,0.04939193184631608,0.044345768716905015
1e-05,0.001,300,64,[10],"['relu', 'linear']",adam,5.51778159769549,5.317080634041394
1e-05,0.001,300,64,[10],"['relu', 'linear']",adagrad,1.6956916724412425,1.5387718463996887
1e-05,0.001,300,64,[10],"['relu', 'linear']",RMSprop,2.4543911340918974,2.5394263142474105
1e-05,0.001,300,64,[30],"['relu', 'linear']",SGDwithoutMomentum,0.13741941917939893,0.12566015931371785
1e-05,0.001,300,64,[30],"['relu', 'linear']",SGD,0.028219389039852983,0.025739364315928163
1e-05,0.001,300,64,[30],"['relu', 'linear']",adam,6.109274974261275,5.488201891727208
1e-05,0.001,300,64,[30],"['relu', 'linear']",adagrad,1.1034383413650035,1.0611345519939834
1e-05,0.001,300,64,[30],"['relu', 'linear']",RMSprop,8.888123738078743,8.907201767979519
1e-05,0.001,300,64,[50],"['relu', 'linear']",SGDwithoutMomentum,0.009051813335131742,0.008142345946351416
1e-05,0.001,300,64,[50],"['relu', 'linear']",SGD,0.0036583092153092906,0.0030901583845597503
1e-05,0.001,300,64,[50],"['relu', 'linear']",adam,7.6164022984557525,6.44310740124873
1e-05,0.001,300,64,[50],"['relu', 'linear']",adagrad,40.03378883930958,37.0888391822331
1e-05,0.001,300,64,[50],"['relu', 'linear']",RMSprop,9.359360905139159,9.497584388428804
1e-05,1e-05,300,64,[10],"['relu', 'linear']",SGDwithoutMomentum,0.13981008635350978,0.122745395262629
1e-05,1e-05,300,64,[10],"['relu', 'linear']",SGD,0.15646630125057703,0.13864896937782972
1e-05,1e-05,300,64,[10],"['relu', 'linear']",adam,0.43358255617179153,0.47030651216793773
1e-05,1e-05,300,64,[10],"['relu', 'linear']",adagrad,11.625624606649383,10.175378990613968
1e-05,1e-05,300,64,[10],"['relu', 'linear']",RMSprop,0.5053932966032878,0.4706340755220413
1e-05,1e-05,300,64,[30],"['relu', 'linear']",SGDwithoutMomentum,0.03425388402196259,0.03188436918736967
1e-05,1e-05,300,64,[30],"['relu', 'linear']",SGD,0.0038278578578434903,0.0032119870689474865
1e-05,1e-05,300,64,[30],"['relu', 'linear']",adam,93.71523780473339,95.1432317343511
1e-05,1e-05,300,64,[30],"['relu', 'linear']",adagrad,4.756764143113686,4.314879146244709
1e-05,1e-05,300,64,[30],"['relu', 'linear']",RMSprop,15.480446018348848,14.15255430023536
1e-05,1e-05,300,64,[50],"['relu', 'linear']",SGDwithoutMomentum,0.15025751559105405,0.1344272974853554
1e-05,1e-05,300,64,[50],"['relu', 'linear']",SGD,0.07152912732315957,0.06338370575108389
1e-05,1e-05,300,64,[50],"['relu', 'linear']",adam,63.57401098383392,57.49203983259092
1e-05,1e-05,300,64,[50],"['relu', 'linear']",adagrad,4.602186864284334,4.736099518349417
1e-05,1e-05,300,64,[50],"['relu', 'linear']",RMSprop,30.47390078300401,27.806772949686692
0.1,0.1,300,128,[10],"['relu', 'linear']",SGDwithoutMomentum,,
0.1,0.1,300,128,[10],"['relu', 'linear']",SGD,0.4058566995388887,0.3757297672994235
0.1,0.1,300,128,[10],"['relu', 'linear']",adam,0.0005403809717210503,0.00044234630193494925
0.1,0.1,300,128,[10],"['relu', 'linear']",adagrad,0.0016903201788116935,0.001506555736649195
0.1,0.1,300,128,[10],"['relu', 'linear']",RMSprop,0.019878355587466624,0.018261618459688003
0.1,0.1,300,128,[30],"['relu', 'linear']",SGDwithoutMomentum,,
