eta,lmbd,epochs,batch_size,n_hidden_layers,activation_func,optimiser,training_loss,validation_loss,training_accuracy,validation_accuracy
0.0001,0.001,300,32,[50],"['relu', 'sigmoid']",SGDwithoutMomentum,0.37185929648241206,0.3742690058479532,0.628140703517588,0.6257309941520468
0.0001,0.001,300,32,[50],"['relu', 'sigmoid']",SGD,0.37185929648241206,0.3742690058479532,0.628140703517588,0.6257309941520468
0.0001,0.001,300,32,[50],"['relu', 'sigmoid']",adam,0.5,0.5,0.37185929648241206,0.3742690058479532
0.0001,0.001,300,32,[50],"['relu', 'sigmoid']",adagrad,0.5012562819622572,0.5,0.3693467336683417,0.3742690058479532
0.0001,0.001,300,32,[50],"['relu', 'sigmoid']",RMSprop,0.5012562817102483,0.5029239766002647,0.628140703517588,0.6257309941520468
0.0001,1e-05,300,32,[10],"['relu', 'sigmoid']",SGDwithoutMomentum,0.628140703517588,0.6257309941520468,0.37185929648241206,0.3742690058479532
0.0001,1e-05,300,32,[10],"['relu', 'sigmoid']",SGD,0.37185929648241206,0.3742690058479532,0.628140703517588,0.6257309941520468
0.0001,1e-05,300,32,[10],"['relu', 'sigmoid']",adam,0.5,0.5,0.37185929648241206,0.3742690058479532
0.0001,1e-05,300,32,[10],"['relu', 'sigmoid']",adagrad,0.49161452553830326,0.5086192652453819,0.37185929648241206,0.3742690058479532
0.0001,1e-05,300,32,[10],"['relu', 'sigmoid']",RMSprop,0.37185929648241206,0.3742690058479532,0.628140703517588,0.6257309941520468
0.0001,1e-05,300,32,[30],"['relu', 'sigmoid']",SGDwithoutMomentum,0.5,0.5,0.37185929648241206,0.3742690058479532
0.0001,1e-05,300,32,[30],"['relu', 'sigmoid']",SGD,0.3731155778893621,0.3742690058479532,0.628140703517588,0.6257309941520468
0.0001,1e-05,300,32,[30],"['relu', 'sigmoid']",adam,0.5,0.5,0.3793969849246231,0.39766081871345027
0.0001,1e-05,300,32,[30],"['relu', 'sigmoid']",adagrad,0.628140703517588,0.6257309941520468,0.37185929648241206,0.3742690058479532
0.0001,1e-05,300,32,[30],"['relu', 'sigmoid']",RMSprop,0.5,0.5,0.38190954773869346,0.38011695906432746
0.0001,1e-05,300,32,[50],"['relu', 'sigmoid']",SGDwithoutMomentum,0.37185929648241206,0.3742690058479532,0.628140703517588,0.6257309941520468
0.0001,1e-05,300,32,[50],"['relu', 'sigmoid']",SGD,0.5012562814070352,0.5029239766081871,0.3693467336683417,0.3684210526315789
0.0001,1e-05,300,32,[50],"['relu', 'sigmoid']",adam,0.5,0.5,0.37185929648241206,0.3742690058479532
0.0001,1e-05,300,32,[50],"['relu', 'sigmoid']",adagrad,0.37185929648241206,0.3742690058479532,0.628140703517588,0.6257309941520468
0.0001,1e-05,300,32,[50],"['relu', 'sigmoid']",RMSprop,0.5,0.5,0.37185929648241206,0.3742690058479532
1e-05,0.1,300,32,[10],"['relu', 'sigmoid']",SGDwithoutMomentum,0.5,0.5,0.37185929648241206,0.3742690058479532
1e-05,0.1,300,32,[10],"['relu', 'sigmoid']",SGD,0.5,0.5,0.37185929648241206,0.3742690058479532
1e-05,0.1,300,32,[10],"['relu', 'sigmoid']",adam,0.628140703517588,0.6257309941520468,0.37185929648241206,0.3742690058479532
1e-05,0.1,300,32,[10],"['relu', 'sigmoid']",adagrad,0.628140703517588,0.6257309941520468,0.37185929648241206,0.3742690058479532
1e-05,0.1,300,32,[10],"['relu', 'sigmoid']",RMSprop,0.5,0.5,0.37185929648241206,0.3742690058479532
1e-05,0.1,300,32,[30],"['relu', 'sigmoid']",SGDwithoutMomentum,0.37185929648241206,0.3742690058479532,0.628140703517588,0.6257309941520468
1e-05,0.1,300,32,[30],"['relu', 'sigmoid']",SGD,0.628140703517588,0.6257309941520468,0.37185929648241206,0.3742690058479532
1e-05,0.1,300,32,[30],"['relu', 'sigmoid']",adam,0.5088536651449832,0.5061771932292747,0.37185929648241206,0.3742690058479532
1e-05,0.1,300,32,[30],"['relu', 'sigmoid']",adagrad,0.5251265673770198,0.5204497071943343,0.49748743718592964,0.4619883040935672
1e-05,0.1,300,32,[30],"['relu', 'sigmoid']",RMSprop,0.3567505646804713,0.3801552552829234,0.37185929648241206,0.3742690058479532
1e-05,0.1,300,32,[50],"['relu', 'sigmoid']",SGDwithoutMomentum,0.24246279257064582,0.28365391884162783,0.7889447236180904,0.7251461988304093
1e-05,0.1,300,32,[50],"['relu', 'sigmoid']",SGD,0.5075376922228384,0.49707602339181495,0.37185929648241206,0.3742690058479532
1e-05,0.1,300,32,[50],"['relu', 'sigmoid']",adam,0.37185929648241206,0.3742690058479532,0.628140703517588,0.6257309941520468
1e-05,0.1,300,32,[50],"['relu', 'sigmoid']",adagrad,0.5846033228480942,0.5760062430193053,0.37185929648241206,0.3742690058479532
1e-05,0.1,300,32,[50],"['relu', 'sigmoid']",RMSprop,0.37185929648241206,0.3742690058479532,0.628140703517588,0.6257309941520468
1e-05,0.001,300,32,[10],"['relu', 'sigmoid']",SGDwithoutMomentum,0.37185929648241206,0.3742690058479532,0.628140703517588,0.6257309941520468
1e-05,0.001,300,32,[10],"['relu', 'sigmoid']",SGD,0.5,0.5,0.40703517587939697,0.40350877192982454
1e-05,0.001,300,32,[10],"['relu', 'sigmoid']",adam,0.34422110589813343,0.35087719298244324,0.6758793969849246,0.6666666666666666
1e-05,0.001,300,32,[10],"['relu', 'sigmoid']",adagrad,0.5046920816200194,0.5034021926900231,0.3869346733668342,0.391812865497076
1e-05,0.001,300,32,[10],"['relu', 'sigmoid']",RMSprop,0.37185929648241206,0.3742690058479532,0.628140703517588,0.6257309941520468
1e-05,0.001,300,32,[30],"['relu', 'sigmoid']",SGDwithoutMomentum,0.22864434992499705,0.272174650157955,0.7713567839195979,0.7309941520467836
