eta,lmbd,epochs,batch_size,n_hidden_layers,activation_func,optimiser,training_loss,validation_loss
1e-05,0.1,300,32,[50],"['relu', 'linear']",adagrad,21.580914460845683,27.027989391429163
1e-05,0.1,300,32,[50],"['relu', 'linear']",RMSprop,84.04181641169916,84.98501130717247
1e-05,0.001,300,32,[10],"['relu', 'linear']",SGDwithoutMomentum,0.23696526755994424,0.3698492667818706
1e-05,0.001,300,32,[10],"['relu', 'linear']",SGD,0.46412835466162417,0.7616017768778975
1e-05,0.001,300,32,[10],"['relu', 'linear']",adam,2.1553982148355684,1.8926554017471617
1e-05,0.001,300,32,[10],"['relu', 'linear']",adagrad,3.1723594594353672,3.6496982465042422
1e-05,0.001,300,32,[10],"['relu', 'linear']",RMSprop,5.96259476043804,7.11788153343179
1e-05,0.001,300,32,[30],"['relu', 'linear']",SGDwithoutMomentum,0.13503973100254635,0.1225184254479796
1e-05,0.001,300,32,[30],"['relu', 'linear']",SGD,0.22501375532329967,0.3176735416462393
1e-05,0.001,300,32,[30],"['relu', 'linear']",adam,5.9320596996611465,8.679002785533552
1e-05,0.001,300,32,[30],"['relu', 'linear']",adagrad,13.901954146696943,15.137685207690598
1e-05,0.001,300,32,[30],"['relu', 'linear']",RMSprop,29.818666955204616,30.564000909188895
1e-05,0.001,300,32,[50],"['relu', 'linear']",SGDwithoutMomentum,0.4543543915045484,0.4621444006295049
1e-05,0.001,300,32,[50],"['relu', 'linear']",SGD,0.25363129919001104,0.38191368404950776
1e-05,0.001,300,32,[50],"['relu', 'linear']",adam,2.3388644754352415,2.7543833964285285
1e-05,0.001,300,32,[50],"['relu', 'linear']",adagrad,33.853269801455355,38.957214186261105
1e-05,0.001,300,32,[50],"['relu', 'linear']",RMSprop,5.551385416467456,9.704035799100769
1e-05,1e-05,300,32,[10],"['relu', 'linear']",SGDwithoutMomentum,0.23179828042320066,0.19353375301391326
1e-05,1e-05,300,32,[10],"['relu', 'linear']",SGD,0.8599482706401954,1.0138937938588537
1e-05,1e-05,300,32,[10],"['relu', 'linear']",adam,58.83233604121367,58.89030837326025
1e-05,1e-05,300,32,[10],"['relu', 'linear']",adagrad,12.086169887867412,11.777678784563019
1e-05,1e-05,300,32,[10],"['relu', 'linear']",RMSprop,26.153735253915432,30.436780163704537
1e-05,1e-05,300,32,[30],"['relu', 'linear']",SGDwithoutMomentum,0.46288525744823916,0.5735911896084094
1e-05,1e-05,300,32,[30],"['relu', 'linear']",SGD,0.23271448047204535,0.4226008668790161
1e-05,1e-05,300,32,[30],"['relu', 'linear']",adam,4.63533634779519,4.972478396408923
1e-05,1e-05,300,32,[30],"['relu', 'linear']",adagrad,33.259252916469904,47.05771543347929
1e-05,1e-05,300,32,[30],"['relu', 'linear']",RMSprop,25.953254394289168,26.045170763879458
1e-05,1e-05,300,32,[50],"['relu', 'linear']",SGDwithoutMomentum,0.18783740895733375,0.2654303438952611
1e-05,1e-05,300,32,[50],"['relu', 'linear']",SGD,0.2639992979340495,0.30701222608786427
1e-05,1e-05,300,32,[50],"['relu', 'linear']",adam,15.439696410049539,20.58557294323765
1e-05,1e-05,300,32,[50],"['relu', 'linear']",adagrad,191.03329438959935,222.1731603875299
1e-05,1e-05,300,32,[50],"['relu', 'linear']",RMSprop,1.1554758546432173,1.1672985600369299
0.1,0.1,300,64,[10],"['relu', 'linear']",SGDwithoutMomentum,,
0.1,0.1,300,64,[10],"['relu', 'linear']",SGD,0.08339982318337955,0.07607121559301697
0.1,0.1,300,64,[10],"['relu', 'linear']",adam,0.009085361204778085,0.007535480761952299
0.1,0.1,300,64,[10],"['relu', 'linear']",adagrad,0.01431606055326593,0.011284644594033683
0.1,0.1,300,64,[10],"['relu', 'linear']",RMSprop,0.0246593482474244,0.0190620841332844
0.1,0.1,300,64,[30],"['relu', 'linear']",SGDwithoutMomentum,,
0.1,0.1,300,64,[30],"['relu', 'linear']",SGD,0.08455598044705478,0.07570841811407536
0.1,0.1,300,64,[30],"['relu', 'linear']",adam,0.007902244773583757,0.0059189293831304664
0.1,0.1,300,64,[30],"['relu', 'linear']",adagrad,0.008626881463597285,0.015295978337957242
0.1,0.1,300,64,[30],"['relu', 'linear']",RMSprop,0.02183190840781909,0.017045938687507527
0.1,0.1,300,64,[50],"['relu', 'linear']",SGDwithoutMomentum,,
0.1,0.1,300,64,[50],"['relu', 'linear']",SGD,0.08340813702535102,0.0754295594115717
0.1,0.1,300,64,[50],"['relu', 'linear']",adam,0.009622550198592898,0.008973794477394274
0.1,0.1,300,64,[50],"['relu', 'linear']",adagrad,0.01255922670674505,0.015234930442182604
0.1,0.1,300,64,[50],"['relu', 'linear']",RMSprop,0.02215770128581441,0.017814590192197673
0.1,0.001,300,64,[10],"['relu', 'linear']",SGDwithoutMomentum,,
0.1,0.001,300,64,[10],"['relu', 'linear']",SGD,0.08382635530024779,0.07540809781524094
0.1,0.001,300,64,[10],"['relu', 'linear']",adam,0.0022416430609081854,0.0026247736248265793
0.1,0.001,300,64,[10],"['relu', 'linear']",adagrad,0.00737652264356963,0.007091589168605003
0.1,0.001,300,64,[10],"['relu', 'linear']",RMSprop,0.012411715878567039,0.012573690407429023
0.1,0.001,300,64,[30],"['relu', 'linear']",SGDwithoutMomentum,,
0.1,0.001,300,64,[30],"['relu', 'linear']",SGD,0.08472555537804785,0.07836011556820047
0.1,0.001,300,64,[30],"['relu', 'linear']",adam,0.047842446176620944,0.04296090030679399
0.1,0.001,300,64,[30],"['relu', 'linear']",adagrad,0.007506536857390745,0.010531264454411809
0.1,0.001,300,64,[30],"['relu', 'linear']",RMSprop,0.017155642478852325,0.01692477037787877
0.1,0.001,300,64,[50],"['relu', 'linear']",SGDwithoutMomentum,,
0.1,0.001,300,64,[50],"['relu', 'linear']",SGD,0.09317841406042585,0.0889168555204664
0.1,0.001,300,64,[50],"['relu', 'linear']",adam,0.0024576908323109157,0.0036719966708016875
0.1,0.001,300,64,[50],"['relu', 'linear']",adagrad,0.006579638538930963,0.00882766075939292
0.1,0.001,300,64,[50],"['relu', 'linear']",RMSprop,0.031789162531146796,0.03653501630387132
0.1,1e-05,300,64,[10],"['relu', 'linear']",SGDwithoutMomentum,,
0.1,1e-05,300,64,[10],"['relu', 'linear']",SGD,0.08477261519169381,0.07582456379209648
0.1,1e-05,300,64,[10],"['relu', 'linear']",adam,0.008030559004555776,0.007403968470162237
0.1,1e-05,300,64,[10],"['relu', 'linear']",adagrad,0.005240463071197257,0.008298416561149519
0.1,1e-05,300,64,[10],"['relu', 'linear']",RMSprop,0.02409896833970795,0.026117914513167563
0.1,1e-05,300,64,[30],"['relu', 'linear']",SGDwithoutMomentum,,
0.1,1e-05,300,64,[30],"['relu', 'linear']",SGD,0.08359935844345459,0.07537652921455298
0.1,1e-05,300,64,[30],"['relu', 'linear']",adam,0.0018912640669821435,0.0021253149362511214
0.1,1e-05,300,64,[30],"['relu', 'linear']",adagrad,0.01606933094721244,0.026360110096413723
0.1,1e-05,300,64,[30],"['relu', 'linear']",RMSprop,0.04498742517974334,0.04100769678985531
0.1,1e-05,300,64,[50],"['relu', 'linear']",SGDwithoutMomentum,,
0.1,1e-05,300,64,[50],"['relu', 'linear']",SGD,0.08332871264215888,0.07554737554418023
0.1,1e-05,300,64,[50],"['relu', 'linear']",adam,0.0035930184954462915,0.005381092624417967
0.1,1e-05,300,64,[50],"['relu', 'linear']",adagrad,0.006848384576964702,0.010002626203660414
0.1,1e-05,300,64,[50],"['relu', 'linear']",RMSprop,0.01814913969141884,0.017812032674909578
0.001,0.1,300,64,[10],"['relu', 'linear']",SGDwithoutMomentum,0.01582662319922946,0.014164277055863645
0.001,0.1,300,64,[10],"['relu', 'linear']",SGD,0.01839217858309879,0.019688390921309397
0.001,0.1,300,64,[10],"['relu', 'linear']",adam,0.029108712410285637,0.032699748246949996
0.001,0.1,300,64,[10],"['relu', 'linear']",adagrad,0.3365495108469573,0.2876626782678706
0.001,0.1,300,64,[10],"['relu', 'linear']",RMSprop,0.007273572955096616,0.006571456152986313
0.001,0.1,300,64,[30],"['relu', 'linear']",SGDwithoutMomentum,0.010057506587314146,0.008815158522923078
0.001,0.1,300,64,[30],"['relu', 'linear']",SGD,0.007857471147662167,0.006124205211176646
0.001,0.1,300,64,[30],"['relu', 'linear']",adam,0.017282275953023514,0.02694739428314575
0.001,0.1,300,64,[30],"['relu', 'linear']",adagrad,1.1137793278457946,1.654087173449613
0.001,0.1,300,64,[30],"['relu', 'linear']",RMSprop,0.006132560420193833,0.005153449038198912
0.001,0.1,300,64,[50],"['relu', 'linear']",SGDwithoutMomentum,0.019073955075392283,0.019308686168431684
0.001,0.1,300,64,[50],"['relu', 'linear']",SGD,0.007950422469821668,0.01043552517458893
0.001,0.1,300,64,[50],"['relu', 'linear']",adam,0.01850360964849601,0.02845843618019182
0.001,0.1,300,64,[50],"['relu', 'linear']",adagrad,17.126717106083575,18.03315582594005
0.001,0.1,300,64,[50],"['relu', 'linear']",RMSprop,0.006685231844281721,0.006414694981680268
0.001,0.001,300,64,[10],"['relu', 'linear']",SGDwithoutMomentum,0.02858242433848135,0.0403467139088365
0.001,0.001,300,64,[10],"['relu', 'linear']",SGD,0.013589379422067593,0.012306640604573055
0.001,0.001,300,64,[10],"['relu', 'linear']",adam,0.08790515066881899,0.08986716324868248
0.001,0.001,300,64,[10],"['relu', 'linear']",adagrad,2.8942588180616475,3.3078071798194415
0.001,0.001,300,64,[10],"['relu', 'linear']",RMSprop,0.009099493573581143,0.008686150009032834
0.001,0.001,300,64,[30],"['relu', 'linear']",SGDwithoutMomentum,0.007774000225294733,0.00870394899098451
0.001,0.001,300,64,[30],"['relu', 'linear']",SGD,0.003768355561264261,0.004351225642506765
0.001,0.001,300,64,[30],"['relu', 'linear']",adam,0.021038463743953968,0.029875683464290658
0.001,0.001,300,64,[30],"['relu', 'linear']",adagrad,1.6215469828904983,1.4736335536433596
0.001,0.001,300,64,[30],"['relu', 'linear']",RMSprop,0.00472035802662696,0.010386038387258089
0.001,0.001,300,64,[50],"['relu', 'linear']",SGDwithoutMomentum,0.007047479865791659,0.007704558694517065
0.001,0.001,300,64,[50],"['relu', 'linear']",SGD,0.004295863737343977,0.004522862305937943
0.001,0.001,300,64,[50],"['relu', 'linear']",adam,0.010722903404282225,0.0314093110867754
0.001,0.001,300,64,[50],"['relu', 'linear']",adagrad,1.8189064756165572,2.025842974888157
0.001,0.001,300,64,[50],"['relu', 'linear']",RMSprop,0.008896929645794135,0.013853164583620617
0.001,1e-05,300,64,[10],"['relu', 'linear']",SGDwithoutMomentum,0.017715474490647892,0.017089754485134716
0.001,1e-05,300,64,[10],"['relu', 'linear']",SGD,0.011894178087193587,0.008925636528193039
0.001,1e-05,300,64,[10],"['relu', 'linear']",adam,0.02475292043201458,0.027641042186799886
0.001,1e-05,300,64,[10],"['relu', 'linear']",adagrad,0.4823330001564942,0.5380074385758876
