eta,lmbd,epochs,batch_size,n_hidden_layers,activation_func,optimiser,training_accuracy,validation_accuracy
1e-05,1e-05,300,32,[10],"['relu', 'sigmoid']",adagrad,0.37185929648241206,0.3742690058479532
1e-05,1e-05,300,32,[10],"['relu', 'sigmoid']",RMSprop,0.37185929648241206,0.3742690058479532
1e-05,1e-05,300,32,[30],"['relu', 'sigmoid']",SGDwithoutMomentum,0.37185929648241206,0.3742690058479532
1e-05,1e-05,300,32,[30],"['relu', 'sigmoid']",SGD,0.37185929648241206,0.3742690058479532
1e-05,1e-05,300,32,[30],"['relu', 'sigmoid']",adam,0.37185929648241206,0.3742690058479532
1e-05,1e-05,300,32,[30],"['relu', 'sigmoid']",adagrad,0.628140703517588,0.6257309941520468
1e-05,1e-05,300,32,[30],"['relu', 'sigmoid']",RMSprop,0.37185929648241206,0.3742690058479532
1e-05,1e-05,300,32,[50],"['relu', 'sigmoid']",SGDwithoutMomentum,0.37185929648241206,0.3742690058479532
1e-05,1e-05,300,32,[50],"['relu', 'sigmoid']",SGD,0.37185929648241206,0.3742690058479532
1e-05,1e-05,300,32,[50],"['relu', 'sigmoid']",adam,0.8492462311557789,0.847953216374269
1e-05,1e-05,300,32,[50],"['relu', 'sigmoid']",adagrad,0.37185929648241206,0.3742690058479532
1e-05,1e-05,300,32,[50],"['relu', 'sigmoid']",RMSprop,0.37185929648241206,0.3742690058479532
0.1,0.1,300,64,[10],"['relu', 'sigmoid']",SGDwithoutMomentum,0.628140703517588,0.6257309941520468
0.1,0.1,300,64,[10],"['relu', 'sigmoid']",SGD,0.628140703517588,0.6257309941520468
0.1,0.1,300,64,[10],"['relu', 'sigmoid']",adam,0.628140703517588,0.6257309941520468
0.1,0.1,300,64,[10],"['relu', 'sigmoid']",adagrad,0.6331658291457286,0.631578947368421
0.1,0.1,300,64,[10],"['relu', 'sigmoid']",RMSprop,0.628140703517588,0.6257309941520468
0.1,0.1,300,64,[30],"['relu', 'sigmoid']",SGDwithoutMomentum,0.37185929648241206,0.3742690058479532
0.1,0.1,300,64,[30],"['relu', 'sigmoid']",SGD,0.628140703517588,0.6257309941520468
0.1,0.1,300,64,[30],"['relu', 'sigmoid']",adam,0.628140703517588,0.6257309941520468
0.1,0.1,300,64,[30],"['relu', 'sigmoid']",adagrad,0.3693467336683417,0.3684210526315789
0.1,0.1,300,64,[30],"['relu', 'sigmoid']",RMSprop,0.628140703517588,0.6257309941520468
0.1,0.1,300,64,[50],"['relu', 'sigmoid']",SGDwithoutMomentum,0.37185929648241206,0.3742690058479532
0.1,0.1,300,64,[50],"['relu', 'sigmoid']",SGD,0.628140703517588,0.6257309941520468
0.1,0.1,300,64,[50],"['relu', 'sigmoid']",adam,0.37185929648241206,0.3742690058479532
0.1,0.1,300,64,[50],"['relu', 'sigmoid']",adagrad,0.628140703517588,0.6257309941520468
0.1,0.1,300,64,[50],"['relu', 'sigmoid']",RMSprop,0.628140703517588,0.6257309941520468
0.1,0.001,300,64,[10],"['relu', 'sigmoid']",SGDwithoutMomentum,0.37185929648241206,0.3742690058479532
0.1,0.001,300,64,[10],"['relu', 'sigmoid']",SGD,0.6306532663316583,0.6257309941520468
0.1,0.001,300,64,[10],"['relu', 'sigmoid']",adam,0.628140703517588,0.6257309941520468
0.1,0.001,300,64,[10],"['relu', 'sigmoid']",adagrad,0.37185929648241206,0.3742690058479532
0.1,0.001,300,64,[10],"['relu', 'sigmoid']",RMSprop,0.37185929648241206,0.3742690058479532
0.1,0.001,300,64,[30],"['relu', 'sigmoid']",SGDwithoutMomentum,0.37185929648241206,0.3742690058479532
0.1,0.001,300,64,[30],"['relu', 'sigmoid']",SGD,0.628140703517588,0.6257309941520468
0.1,0.001,300,64,[30],"['relu', 'sigmoid']",adam,0.628140703517588,0.6257309941520468
0.1,0.001,300,64,[30],"['relu', 'sigmoid']",adagrad,0.38190954773869346,0.38596491228070173
0.1,0.001,300,64,[30],"['relu', 'sigmoid']",RMSprop,0.628140703517588,0.6257309941520468
0.1,0.001,300,64,[50],"['relu', 'sigmoid']",SGDwithoutMomentum,0.628140703517588,0.6257309941520468
0.1,0.001,300,64,[50],"['relu', 'sigmoid']",SGD,0.37185929648241206,0.3742690058479532
0.1,0.001,300,64,[50],"['relu', 'sigmoid']",adam,0.628140703517588,0.6257309941520468
0.1,0.001,300,64,[50],"['relu', 'sigmoid']",adagrad,0.37185929648241206,0.3742690058479532
0.1,0.001,300,64,[50],"['relu', 'sigmoid']",RMSprop,0.37185929648241206,0.3742690058479532
0.1,1e-05,300,64,[10],"['relu', 'sigmoid']",SGDwithoutMomentum,0.37185929648241206,0.3742690058479532
0.1,1e-05,300,64,[10],"['relu', 'sigmoid']",SGD,0.37185929648241206,0.3742690058479532
0.1,1e-05,300,64,[10],"['relu', 'sigmoid']",adam,0.628140703517588,0.6257309941520468
