eta,lmbd,epochs,batch_size,n_hidden_layers,activation_func,optimiser,training_accuracy,validation_accuracy
0.001,0.1,300,32,[30],"['relu', 'sigmoid']",RMSprop,0.3333333333333333,0.3333333333333333
0.001,0.1,300,32,[50],"['relu', 'sigmoid']",SGDwithoutMomentum,0.009523809523809525,0.022222222222222223
0.001,0.1,300,32,[50],"['relu', 'sigmoid']",SGD,0.3333333333333333,0.3333333333333333
0.001,0.1,300,32,[50],"['relu', 'sigmoid']",adam,0.6476190476190476,0.6444444444444445
0.001,0.1,300,32,[50],"['relu', 'sigmoid']",adagrad,0.0,0.0
0.001,0.1,300,32,[50],"['relu', 'sigmoid']",RMSprop,0.9619047619047619,0.9777777777777777
0.001,0.001,300,32,[10],"['relu', 'sigmoid']",SGDwithoutMomentum,0.6666666666666666,0.6666666666666666
0.001,0.001,300,32,[10],"['relu', 'sigmoid']",SGD,0.3333333333333333,0.3333333333333333
0.001,0.001,300,32,[10],"['relu', 'sigmoid']",adam,0.3333333333333333,0.3333333333333333
0.001,0.001,300,32,[10],"['relu', 'sigmoid']",adagrad,0.3333333333333333,0.3333333333333333
0.001,0.001,300,32,[10],"['relu', 'sigmoid']",RMSprop,0.9333333333333333,0.9777777777777777
0.001,0.001,300,32,[30],"['relu', 'sigmoid']",SGDwithoutMomentum,0.0,0.0
0.001,0.001,300,32,[30],"['relu', 'sigmoid']",SGD,0.3619047619047619,0.35555555555555557
0.001,0.001,300,32,[30],"['relu', 'sigmoid']",adam,0.3333333333333333,0.3333333333333333
0.001,0.001,300,32,[30],"['relu', 'sigmoid']",adagrad,0.6666666666666666,0.6666666666666666
0.001,0.001,300,32,[30],"['relu', 'sigmoid']",RMSprop,0.6666666666666666,0.6666666666666666
0.001,0.001,300,32,[50],"['relu', 'sigmoid']",SGDwithoutMomentum,0.3333333333333333,0.3333333333333333
0.001,0.001,300,32,[50],"['relu', 'sigmoid']",SGD,0.3333333333333333,0.3333333333333333
0.001,0.001,300,32,[50],"['relu', 'sigmoid']",adam,0.0,0.0
0.001,0.001,300,32,[50],"['relu', 'sigmoid']",adagrad,0.3333333333333333,0.3333333333333333
0.001,0.001,300,32,[50],"['relu', 'sigmoid']",RMSprop,0.6666666666666666,0.6666666666666666
0.001,1e-05,300,32,[10],"['relu', 'sigmoid']",SGDwithoutMomentum,0.6666666666666666,0.6666666666666666
0.001,1e-05,300,32,[10],"['relu', 'sigmoid']",SGD,0.3333333333333333,0.3333333333333333
0.001,1e-05,300,32,[10],"['relu', 'sigmoid']",adam,0.9619047619047619,0.9777777777777777
0.001,1e-05,300,32,[10],"['relu', 'sigmoid']",adagrad,0.3333333333333333,0.3333333333333333
0.001,1e-05,300,32,[10],"['relu', 'sigmoid']",RMSprop,0.9714285714285714,0.9777777777777777
0.001,1e-05,300,32,[30],"['relu', 'sigmoid']",SGDwithoutMomentum,0.009523809523809525,0.0
0.001,1e-05,300,32,[30],"['relu', 'sigmoid']",SGD,0.9523809523809523,0.9777777777777777
0.001,1e-05,300,32,[30],"['relu', 'sigmoid']",adam,0.3333333333333333,0.3333333333333333
0.001,1e-05,300,32,[30],"['relu', 'sigmoid']",adagrad,0.3333333333333333,0.3111111111111111
0.001,1e-05,300,32,[30],"['relu', 'sigmoid']",RMSprop,0.6666666666666666,0.6444444444444445
0.001,1e-05,300,32,[50],"['relu', 'sigmoid']",SGDwithoutMomentum,0.3333333333333333,0.3333333333333333
0.001,1e-05,300,32,[50],"['relu', 'sigmoid']",SGD,0.3333333333333333,0.3333333333333333
0.001,1e-05,300,32,[50],"['relu', 'sigmoid']",adam,0.0,0.0
0.001,1e-05,300,32,[50],"['relu', 'sigmoid']",adagrad,0.6666666666666666,0.6666666666666666
0.001,1e-05,300,32,[50],"['relu', 'sigmoid']",RMSprop,0.6666666666666666,0.6666666666666666
0.0001,0.1,300,32,[10],"['relu', 'sigmoid']",SGDwithoutMomentum,0.3333333333333333,0.3333333333333333
0.0001,0.1,300,32,[10],"['relu', 'sigmoid']",SGD,0.0,0.0
0.0001,0.1,300,32,[10],"['relu', 'sigmoid']",adam,0.6666666666666666,0.6666666666666666
0.0001,0.1,300,32,[10],"['relu', 'sigmoid']",adagrad,0.3333333333333333,0.3333333333333333
0.0001,0.1,300,32,[10],"['relu', 'sigmoid']",RMSprop,0.3333333333333333,0.3333333333333333
0.0001,0.1,300,32,[30],"['relu', 'sigmoid']",SGDwithoutMomentum,0.3333333333333333,0.3333333333333333
0.0001,0.1,300,32,[30],"['relu', 'sigmoid']",SGD,0.3333333333333333,0.3333333333333333
0.0001,0.1,300,32,[30],"['relu', 'sigmoid']",adam,0.3333333333333333,0.3333333333333333
0.0001,0.1,300,32,[30],"['relu', 'sigmoid']",adagrad,0.5714285714285714,0.5777777777777777
0.0001,0.1,300,32,[30],"['relu', 'sigmoid']",RMSprop,0.29523809523809524,0.28888888888888886
0.0001,0.1,300,32,[50],"['relu', 'sigmoid']",SGDwithoutMomentum,0.3238095238095238,0.3333333333333333
0.0001,0.1,300,32,[50],"['relu', 'sigmoid']",SGD,0.0,0.0
0.0001,0.1,300,32,[50],"['relu', 'sigmoid']",adam,0.3333333333333333,0.3333333333333333
0.0001,0.1,300,32,[50],"['relu', 'sigmoid']",adagrad,0.3333333333333333,0.3111111111111111
0.0001,0.1,300,32,[50],"['relu', 'sigmoid']",RMSprop,0.3333333333333333,0.3333333333333333
0.0001,0.001,300,32,[10],"['relu', 'sigmoid']",SGDwithoutMomentum,0.3333333333333333,0.3333333333333333
0.0001,0.001,300,32,[10],"['relu', 'sigmoid']",SGD,0.3333333333333333,0.3333333333333333
0.0001,0.001,300,32,[10],"['relu', 'sigmoid']",adam,0.3333333333333333,0.3333333333333333
0.0001,0.001,300,32,[10],"['relu', 'sigmoid']",adagrad,0.3333333333333333,0.3333333333333333
0.0001,0.001,300,32,[10],"['relu', 'sigmoid']",RMSprop,0.3333333333333333,0.3333333333333333
0.0001,0.001,300,32,[30],"['relu', 'sigmoid']",SGDwithoutMomentum,0.3333333333333333,0.3333333333333333
0.0001,0.001,300,32,[30],"['relu', 'sigmoid']",SGD,0.3333333333333333,0.3333333333333333
0.0001,0.001,300,32,[30],"['relu', 'sigmoid']",adam,0.3333333333333333,0.3333333333333333
0.0001,0.001,300,32,[30],"['relu', 'sigmoid']",adagrad,0.3333333333333333,0.3333333333333333
